Number, x, y, size, angle, response
1,292.63,40.4231,3.25927,181.361,0.0153071
2,297.463,485.795,6.71821,181.774,0.0426165
3,297.931,485.898,7.24488,182.853,0.0420149
4,301.961,475.623,5.25368,240.829,0.0166341
5,302.742,474.352,5.96431,240.269,0.0166296
6,303.875,832.099,4.2251,172.391,0.0139102
7,304.232,876.822,4.16361,181.477,0.0151633
8,304.599,889.88,4.17704,189.554,0.0138378
9,304.747,848.86,4.73986,176.999,0.01549
10,306.324,469.548,8.26121,234.458,0.0162668
11,307.771,467.658,9.19057,233.474,0.0161716
12,311.935,1379.57,11.2417,91.7428,0.0422371
13,311.935,1379.57,11.2417,172.237,0.0422371
14,313.009,494.244,33.5432,184.881,0.029021
15,316.366,1271.78,21.9507,175.924,0.0435463
16,323.66,1298.52,8.4305,120.073,0.0201798
17,336.525,1298.98,3.06835,115.067,0.0162888
18,341.152,1301.63,1.8893,112.747,0.0153
19,343.723,454.209,5.53894,236.525,0.0146519
20,347.333,887.966,6.4316,286.837,0.0185706
21,347.808,455.848,13.8581,237.491,0.0147486
22,353.579,1310.98,3.52365,119.138,0.0140796
23,357.73,890.661,4.12221,280.287,0.0137306
24,357.981,878.407,28.0963,280.112,0.0180912
25,358.65,1305.75,7.60435,114.317,0.014197
26,359.017,1306.84,6.51953,113.072,0.0143611
27,367.446,1321.15,8.41801,175.379,0.0264423
28,367.749,1374.7,6.10947,178.124,0.0232957
29,368.372,439.824,6.01576,238.111,0.015935
30,370.841,1339.88,2.03614,186.047,0.0236403
31,371.769,987.835,8.46029,310.682,0.0151902
32,373.556,1340.65,2.48794,183.869,0.0178918
33,373.614,1351.88,3.26148,180.414,0.0171139
34,374.249,1387.32,2.25388,94.6799,0.0399806
35,378.864,1070.19,8.1178,303.108,0.0156402
36,384.737,1003.41,2.75501,299.447,0.0146338
37,384.826,1059.9,26.7803,78.184,0.0256132
38,384.826,1059.9,26.7803,299.971,0.0256132
39,386.677,1037.74,9.8558,89.2746,0.0152572
40,389.803,430.635,6.32769,251.707,0.0188278
41,390.084,1046.96,5.19906,85.5055,0.0182986
42,390.872,1371.53,28.0328,94.2051,0.0479241
43,391.293,1085.25,5.4724,296.558,0.0134079
44,392.67,955.35,5.24963,85.0938,0.0185892
45,393.492,1007.92,3.63567,289.051,0.0145515
46,393.501,1007.62,3.28295,289.268,0.0147459
47,393.517,1130.34,9.70583,115.63,0.0317733
48,395.312,1367.92,33.9655,95.6526,0.0474538
49,401.19,1125.96,4.43341,124.342,0.0174954
50,401.384,975.459,40.6128,74.4308,0.0244349
51,401.384,975.459,40.6128,287.196,0.0244349
52,403.279,660.508,1.97425,109.304,0.0138802
53,403.53,606.115,3.03135,191.76,0.0134164
54,404.192,1046.57,4.2691,89.8749,0.0177271
55,404.283,594.639,6.74528,191.827,0.0138096
56,405.332,1144.04,24.2171,107.787,0.0308238
57,406.288,1125.7,8.27136,116.708,0.0172565
58,407.962,581.643,4.31075,192.442,0.0147021
59,408.584,647.692,17.0838,112.675,0.0189222
60,408.584,647.692,17.0838,189.416,0.0189222
61,409.228,1084.89,4.52398,283.878,0.021034
62,409.901,1134.64,3.27595,112.408,0.0222566
