Number, x, y, size, angle, response
63,410.748,1088.74,1.95906,279.597,0.0152609
64,411.793,1006.33,4.74077,280.573,0.0210644
65,414.035,1046.06,4.23168,85.7897,0.017551
66,416.101,544.086,4.56268,189.644,0.0160458
67,417.94,400.32,6.06092,200.648,0.0169879
68,419.039,528.365,2.72206,191.156,0.0167982
69,419.589,1173.22,2.41667,292.915,0.0155065
70,419.881,545.578,2.4256,191.413,0.0134993
71,422.011,1045.21,4.1528,84.8419,0.0178211
72,423.033,1091.18,3.89176,270.303,0.0146559
73,424.646,1242.69,15.3967,77.2467,0.0310224
74,424.646,1242.69,15.3967,294.427,0.0310224
75,426.017,1250.65,3.91841,297.751,0.0179475
76,426.066,1142.47,3.26268,104.431,0.0197392
77,427.971,1255.12,2.34036,291.646,0.0142439
78,428.57,1184.65,11.0493,290.602,0.0138562
79,430.782,667.813,3.0252,110.516,0.0135379
80,433.575,252.771,2.8194,175.475,0.0218638
81,433.689,218.842,3.09008,186.05,0.0166827
82,434.24,238.345,5.47977,178.384,0.0237094
83,435.252,1234.65,3.91391,79.1837,0.0200831
84,435.555,1035.87,9.04566,89.0317,0.0156219
85,435.69,270.445,2.35846,170.495,0.0205065
86,435.992,238.366,8.15173,178.504,0.0228942
87,436.792,1087.57,4.33337,277.406,0.020378
88,437.475,1142.02,2.74969,111.978,0.0153505
89,437.563,276.066,3.25941,170.101,0.0180513
90,437.809,276.125,3.61405,170.195,0.0176833
91,438.878,669.793,3.03545,100.164,0.0150372
92,439.772,1255.91,3.20785,285.047,0.0223675
93,440.666,351.194,7.67568,209.712,0.0155235
94,440.93,350.45,6.96289,209.586,0.0155653
95,442.563,204.199,6.10811,212.224,0.0146719
96,442.864,301.838,2.10149,160.583,0.026149
97,443.354,323.524,9.97451,170.808,0.0267278
98,444.029,671.132,3.01749,100.057,0.0146665
99,444.246,232.109,22.347,183.42,0.0240619
100,445.972,481.276,11.2827,192.192,0.0217156
101,445.972,481.276,11.2827,289.049,0.0217156
102,448.241,313.675,4.04486,158.676,0.0209398
103,448.429,1232.7,4.01554,79.2057,0.02022
104,448.788,292.336,16.5754,168.146,0.0237535
105,448.921,1117.8,37.1558,277.033,0.0219582
106,449.715,1145.64,4.41264,109.358,0.017135
107,450.224,319.227,2.59067,159.578,0.0192274
108,451.292,1043.89,3.21651,81.2581,0.0177925
109,451.438,1141.62,10.3307,107.598,0.0162991
110,451.566,1262.05,3.26197,277.646,0.014581
111,451.938,1190.62,12.0593,279.177,0.014958
112,452.215,469.972,3.80176,182.836,0.013894
113,454.249,342.317,6.83086,160.442,0.0174424
114,456.2,327.607,11.0769,170.292,0.0199798
115,456.863,431.658,3.34042,184.533,0.0137977
116,458.897,1015.27,5.63417,278.795,0.0149545
117,459.937,108.775,14.5349,217.952,0.0183322
118,460.087,135.495,9.41611,205.382,0.023704
119,460.113,411.218,2.40273,190.563,0.020049
120,461.63,359.023,2.61473,177.435,0.0167308
121,465.232,120.231,4.24291,214.619,0.0161779
122,466.92,1037.75,4.48856,89.6422,0.0151285
123,468.464,113.937,2.56416,213.729,0.0180958
124,468.865,891.937,3.93298,261.667,0.0195842
125,475.095,104.95,4.16707,215.962,0.0177631
126,476.245,90.5949,11.221,225.511,0.0173296
127,476.551,1157.73,3.31823,101.181,0.0213578
128,484.219,1223.89,4.69433,68.0195,0.0180432
129,485.574,1042.39,4.44654,87.6281,0.0198226
130,486.4,405.354,44.1332,190.387,0.0202231
131,488.461,111.648,26.4836,225.144,0.0285361
132,488.614,132.581,2.21587,59.1528,0.0144215
133,488.829,1181.67,3.94661,261.725,0.0221463
134,489.136,1261.08,2.03712,259.808,0.020068
135,493.134,130.516,2.74271,71.9709,0.0162502
136,495.792,938.314,4.36487,75.7805,0.0167797
137,496.197,889.475,3.9246,266.298,0.01963
138,496.229,1041.39,4.34618,79.9908,0.0188544
139,496.755,682.834,3.77958,100.539,0.0161021
140,499.584,1259.4,2.47866,257.861,0.0148565
141,499.903,893.844,4.14733,264.992,0.0134531
142,502.712,888.717,3.9535,261.832,0.0176906
143,503.349,1214.72,4.06797,63.1176,0.0147912
144,504.102,86.5968,6.70076,254.67,0.0143303
145,508.051,656.341,41.9262,102.985,0.0188137
146,509.785,1212.02,3.69193,67.6635,0.0142207
147,509.885,144.077,2.50716,238.606,0.0138299
148,510.186,1255,2.13599,240.734,0.0165428
149,511.111,151.443,10.1283,243.046,0.0135706
150,511.477,935.194,4.63759,79.813,0.0166508
151,512.031,246.753,124.645,196.591,0.0433919
152,514.135,144.967,2.73195,240.272,0.0163103
153,518.83,85.0835,3.03134,252.465,0.0148471
154,519.084,1244.22,3.24366,241.052,0.0255229
155,519.1,933.177,3.47344,71.1369,0.0152622
156,519.76,123.681,7.69217,98.1964,0.0146474
157,519.844,124.567,6.84754,94.6252,0.014611
158,523.252,1206.23,8.20991,82.5027,0.0225863
159,523.553,1250.38,8.42416,244.298,0.0212966
160,524.113,86.664,2.30824,256.404,0.0157072
161,524.701,497.064,288.329,193.6,0.0422014
162,526.936,60.0436,11.9581,235.645,0.0147998
163,531.071,1030.35,7.07194,78.4748,0.0147798
164,532.095,87.1971,5.32305,257.609,0.0140762
165,534.009,691.726,3.6134,100.469,0.0156605
166,534.033,691.681,3.53263,99.3934,0.0157322
167,535.339,1037.18,4.3922,79.3108,0.0171833
168,539.527,1160.32,3.28769,85.5418,0.0166547
169,539.583,890.204,4.33266,259.795,0.0150921
170,539.709,888.962,2.49431,259.851,0.0160361
171,541.048,884.731,4.40001,259.249,0.0202061
172,542.314,1204.34,3.86607,92.0839,0.0235371
173,542.472,368.852,26.2198,178.066,0.0260796
174,544.926,409.767,5.11584,177.504,0.0162516
175,544.926,409.767,5.11584,357.622,0.0162516
176,545.389,1085.21,4.31055,262.486,0.021705
177,547.38,1159.58,3.4667,80.6753,0.0181999
178,547.514,507.768,61.5239,160.981,0.0192197
179,547.514,507.768,61.5239,351.727,0.0192197
180,548.281,1244.65,2.55032,260.368,0.0246926
181,549.165,1033.87,5.51747,80.4571,0.0206193
182,552.202,1089.19,4.06729,262.785,0.0150434
183,552.296,1088.68,3.43125,264.504,0.0150771
184,555.313,1158.69,4.1597,80.1475,0.015263
185,555.323,923.347,5.20539,74.1549,0.0150432
186,555.99,1179.17,2.74688,265.527,0.0200894
187,556.407,1179.82,3.64238,266.049,0.0193413
188,557.035,1199.82,4.49192,87.1822,0.0160683
189,557.1,1243.17,2.52654,260.879,0.0206438
190,557.357,387.875,3.42039,181.887,0.0161412
191,557.417,134.001,107.195,236.727,0.0413815
192,557.8,83.117,2.12055,264.99,0.0143084
193,559.37,80.3078,2.44667,263.728,0.0164451
194,559.578,469.164,7.33201,146.317,0.0195523
195,560.236,910.231,10.6358,73.2537,0.0139362
196,562.117,1157.41,3.39263,79.7898,0.0181539
197,562.876,557.442,3.67919,189.048,0.0146573
198,564.459,594.844,2.75725,160.194,0.0153875
199,565.053,880.849,4.62217,262.058,0.0226046
200,567.345,1000.95,2.67642,254.736,0.0171241
201,567.446,601.518,2.84241,162.216,0.015871
202,568.126,1197.95,5.36724,80.1603,0.0148883
203,568.941,537.12,3.77124,206.547,0.0165039
204,570.298,1151.18,4.04129,80.1507,0.0140419
205,570.966,917.859,4.99069,74.4744,0.0198729
206,571.611,888.457,8.8828,260.631,0.0166954
207,572.051,532.071,3.49911,212.335,0.013916
208,572.269,1021.71,8.21034,79.1941,0.0134757
209,572.339,619.315,4.00125,165.649,0.0163495
210,572.881,1177.07,2.50728,258.609,0.0186633
211,573.621,1173.23,3.94658,256.648,0.0230283
212,573.908,995.305,4.1997,260.138,0.0234929
213,574.686,484.332,9.63798,130.046,0.0191413
214,575.303,537.89,5.88065,205.961,0.0151371
215,575.515,1328.9,85.6593,86.4256,0.0410231
216,575.836,526.877,4.50331,210.631,0.0149668
217,576.276,629.619,3.20384,156.276,0.0149145
218,578.382,622.495,5.07778,163.776,0.0137933
219,579.166,520.974,2.93926,206.538,0.0152584
220,580.158,512.612,5.94432,196.501,0.0181101
221,581.011,480.649,2.80277,130.456,0.0140239
222,581.272,640.618,2.84339,150.767,0.0163118
223,581.374,1236.52,3.07586,240.86,0.0168788
224,582.304,1176.15,3.99248,258.124,0.0166286
225,582.352,1175.68,3.38515,258.332,0.0167372
226,582.689,1153.92,4.00688,79.4603,0.0175117
227,583.858,647.111,4.46189,151.37,0.0149285
228,585.117,881.92,3.82971,259.167,0.0165255
229,586.54,1201.08,3.8533,78.8801,0.015988
230,586.582,913.672,4.259,72.5605,0.0183656
231,588.25,654.676,2.34117,151.044,0.0153547
232,588.464,1174.1,3.09388,254.164,0.0153091
233,589.141,1169.85,3.58327,253.117,0.021988
234,589.923,1077.77,4.97877,255.664,0.0260741
235,590.102,992.814,4.48566,260.876,0.0264222
236,590.22,657.889,2.01704,151.747,0.0133398
237,590.425,1139.17,15.4033,72.7204,0.0160481
238,590.477,512.977,9.37063,300.445,0.0223
239,591.479,622.541,24.1112,158.618,0.0180762
240,591.577,485.743,8.05075,127.871,0.0164373
241,591.663,612.963,29.5139,162.329,0.0179297
242,591.856,1221.24,3.88901,219.575,0.0241424
243,592.096,1358.21,52.2031,88.8282,0.0423602
244,594.428,494.55,2.39527,124.475,0.0145578
245,594.882,880.328,4.11348,260.487,0.0141765
246,595.065,1080.57,3.24098,249.82,0.0199334
247,595.321,880.864,5.00963,260.818,0.0139099
248,595.512,1222.1,2.06038,216.731,0.0180241
249,595.603,651.536,9.96631,145.391,0.016701
250,600.159,170.48,9.57621,18.8988,0.0345918
251,600.357,1202.3,10.4886,73.6162,0.0477417
252,600.357,1202.3,10.4886,210.785,0.0477417
253,602.158,877.038,2.12341,262.775,0.0171827
254,604.502,291.74,10.4719,339.343,0.0321506
255,605.63,291.405,8.53008,339.239,0.0327272
256,605.931,83.1022,3.24101,276.338,0.014906
257,610.117,512.166,9.54817,129.889,0.0323307
258,611.039,990.661,2.65316,254.096,0.0181265
259,611.159,905.687,3.10737,78.2738,0.0167612
260,611.631,992.271,5.09331,253.051,0.0175932
261,612.526,83.7993,3.11106,267.598,0.0149841
262,612.646,870.307,5.2379,250.264,0.0182175
263,615.47,163.772,12.0988,23.224,0.0642852
264,615.47,163.772,12.0988,120.658,0.0642852
265,615.823,1227.3,25.1543,16.2896,0.018243
266,615.823,1227.3,25.1543,228.283,0.018243
267,615.995,985.662,4.33416,254.231,0.0239665
268,616.903,155.253,2.10486,124.481,0.0367961
269,617.813,86.7749,2.15927,283.8,0.0148853
270,619.684,875.897,6.57006,250.541,0.0198124
271,620.636,180.34,28.3465,13.2094,0.0610361
272,620.636,180.34,28.3465,110.28,0.0610361
273,621.126,85.0418,2.68438,286.311,0.0152887
274,621.395,989.094,3.99189,252.7,0.0181178
275,622.367,378.544,66.5453,306.644,0.0342376
276,622.875,88.4158,2.14854,289.286,0.0149486
277,623.146,983.928,3.63655,252.522,0.0233266
278,623.314,1145.6,9.24185,219.838,0.041497
279,623.93,522.485,7.95048,129.725,0.0329815
280,627.202,90.3559,2.10775,287.884,0.0135889
281,628.182,1153.57,6.1827,221.254,0.0183448
282,629.022,1191.11,33.9688,22.7553,0.0197381
283,630.47,559.085,20.5266,30.042,0.0143564
284,632.235,1322.89,4.4535,5.41012,0.0144517
285,632.703,160.05,10.7688,123.795,0.0366182
286,632.832,1014.09,3.61725,79.803,0.0141428
287,632.928,1014.44,3.19529,80.4403,0.0143783
288,633.809,1315.09,5.40803,9.61487,0.0137416
289,634.263,870.182,4.47498,252.247,0.0162849
290,635.386,174.239,8.76308,119.656,0.0333085
291,636.159,530.802,8.4204,128.536,0.0271817
292,636.605,89.926,2.22077,292.824,0.0149897
293,636.925,1305.48,6.02659,48.8755,0.0200512
294,636.937,1352.25,12.9356,261.32,0.0319354
295,638.381,1017.38,4.86747,78.9262,0.0196288
296,638.751,1254.42,9.05432,251.146,0.0362642
297,639.029,1061.9,4.0114,249.757,0.025055
298,639.152,1236.4,4.63152,19.4953,0.0134906
299,639.442,1301.98,3.26131,54.824,0.0203212
300,640.47,1296.93,2.99622,53.9929,0.0139822
301,641.014,621.142,3.39159,197.875,0.013676
302,645.174,1297.97,3.66852,50.7614,0.0189622
303,645.628,1059.86,3.47578,248.223,0.0230785
304,646.311,1015.32,4.13972,78.0179,0.0205254
305,647.498,636.426,2.52735,137.679,0.0139687
306,648.045,579.837,16.406,31.4903,0.0247435
307,648.045,579.837,16.406,200.607,0.0247435
308,648.065,981.139,2.7962,250.605,0.0163339
309,650.21,624.752,10.9892,194.737,0.0189878
310,650.71,574.305,13.2019,32.392,0.0251013
311,650.71,574.305,13.2019,199.657,0.0251013
312,650.828,556.223,7.26657,312.434,0.0156053
313,651.017,1062.26,3.88241,252.34,0.0159242
314,651.45,97.1134,3.27791,299.457,0.0137668
315,651.636,425.942,7.8426,349.762,0.0359272
316,652.328,641.658,1.94823,135.356,0.016611
317,653.076,1355.17,2.71856,237.689,0.0199252
318,654.057,979.899,4.22529,250.121,0.0172719
319,654.235,546.419,8.17843,123.091,0.0255722
320,656.642,645.867,2.98024,129.705,0.016177
321,657.041,1352.62,2.03823,245.622,0.0185942
322,657.583,535.667,8.48254,123.825,0.014166
323,657.69,174.803,5.02734,103.385,0.0351332
324,658.283,1205.25,12.6894,25.0101,0.0169631
325,658.403,1112.82,63.2757,25.1479,0.0209488
326,659.609,158.866,30.4011,109.246,0.0434422
327,659.824,651.999,7.96563,136.554,0.0152375
328,660.308,419.965,7.46505,149.56,0.0180127
329,661.2,650.388,3.19543,137.699,0.0159575
330,662.276,888.289,4.65583,68.4869,0.016848
331,662.376,436.94,8.60504,347.966,0.0182623
332,663.87,1343.5,7.97051,239.042,0.0263973
333,663.96,64.4094,2.38013,126.537,0.0153052
334,664.187,654.201,2.72246,144.703,0.0173949
335,665.304,1005.34,2.79766,74.9796,0.0136371
336,665.983,861.118,5.37782,251.279,0.015044
337,666.776,61.6814,7.78314,135.267,0.0264822
338,666.776,61.6814,7.78314,264.471,0.0264822
339,667.089,573.397,10.5102,304.854,0.0209766
340,668.525,1346.56,1.95106,236.863,0.0200658
341,668.948,660.407,3.22646,131.143,0.0145168
342,669.062,1183.27,5.96235,34.8744,0.0143114
343,669.175,67.3303,2.24217,120.857,0.0156783
344,669.393,70.3406,2.16429,126.439,0.0181036
345,670.715,1245.48,3.21033,240.622,0.020433
346,670.782,967.845,6.28635,247.477,0.0251452
347,670.92,426.549,7.92819,151.62,0.0330014
348,671.995,1369.74,32.1025,85.7623,0.0490906
349,672.304,654.651,7.04167,136.129,0.0141418
350,674.102,71.0141,2.59597,137.025,0.0145303
351,674.684,1005.95,4.59503,70.2129,0.0201785
352,675.572,444.101,9.42015,163.918,0.0418264
353,675.572,444.101,9.42015,341.694,0.0418264
354,676.216,1255.23,19.0536,40.394,0.0263423
355,676.216,1255.23,19.0536,252.473,0.0263423
356,676.321,1335.39,3.30226,227.545,0.0223407
357,676.432,1339.14,2.02819,226.303,0.0176565
358,677.092,426.254,2.94068,157.013,0.0176458
359,677.666,79.5456,2.03101,146.833,0.0152742
360,678.406,84.7713,6.87291,142.415,0.0150691
361,679.483,968.642,3.07454,241.985,0.0166076
362,682.718,625.213,41.8669,52.827,0.022864
363,682.718,625.213,41.8669,113.832,0.022864
364,684.02,1334.18,3.98143,229.885,0.0183329
365,684.075,83.8671,2.57452,139.907,0.0152488
366,684.099,87.576,1.80732,131.65,0.0150369
367,684.462,962.793,3.82548,249.784,0.0221921
368,685.153,849.5,2.70441,242.242,0.0136866
369,685.914,1269.33,5.18111,63.208,0.0180205
370,686.981,1379.42,16.195,84.5227,0.0459416
371,687.525,1239.46,6.36347,248.682,0.023062
372,688.109,1259.21,8.35408,56.725,0.0171103
373,688.229,1046.11,3.99855,246.293,0.0150832
374,688.323,1160.7,16.347,39.5157,0.0182825
375,688.599,1325.03,3.4234,230.553,0.0217525
376,688.989,93.0781,2.61418,138.634,0.0164724
377,689.057,1380.97,14.0643,84.7703,0.0459065
378,689.322,1260.15,7.15144,61.0284,0.0170771
379,691.192,62.635,2.18261,302.55,0.0143836
380,691.405,861.899,22.7173,80.9748,0.0234318
381,691.405,861.899,22.7173,240.772,0.0234318
382,691.565,1149,4.94818,50.7309,0.0133858
383,692.075,280.421,111.724,135.172,0.0907724
384,692.075,280.421,111.724,310.494,0.0907724
385,692.174,1270.85,11.5974,48.2889,0.0171581
386,692.684,157.944,2.24627,299.488,0.0152831
387,692.82,840.937,3.40473,239.706,0.0175843
388,692.941,879.372,4.19981,79.4401,0.018528
389,693.584,963.176,2.7419,244.855,0.0176442
390,693.911,1038.19,4.07709,235.526,0.0218663
391,695.242,1247.31,4.41435,357.581,0.0188056
392,695.545,1189.14,52.7202,29.9825,0.0179427
393,696.052,66.8176,41.4206,281.048,0.0286745
394,697.267,595.971,9.69288,299.63,0.0149001
395,697.652,382.905,13.894,289.62,0.0359413
396,697.95,385.282,16.9896,289.742,0.0359279
397,698.438,64.9944,3.04147,302.072,0.0159532
398,698.797,997.98,5.69141,70.3145,0.0190978
399,699.171,82.188,22.0157,295.04,0.0269619
400,699.362,847.563,10.5883,239.938,0.0135969
401,699.958,582.664,9.03934,121.633,0.0319721
402,700.617,463.353,8.37687,206.314,0.0339265
403,700.617,463.353,8.37687,358.383,0.0339265
404,700.675,97.0416,2.77442,110.875,0.0158994
405,701.159,100.396,2.47223,104.739,0.0175386
406,701.349,1032.68,3.99295,239.248,0.017697
407,701.64,1311.35,2.24511,179.994,0.018202
408,701.684,1355.11,48.6171,38.4547,0.0542225
409,701.684,1355.11,48.6171,76.4182,0.0542225
410,702.636,835.586,3.8391,234.393,0.0193733
411,703.114,448.182,7.73075,174.538,0.0371419
412,703.391,142.958,2.28326,160.596,0.016704
413,703.491,70.7842,1.89573,300.308,0.0142764
414,704.375,132.135,2.11851,197.161,0.0164845
415,704.395,1307.92,6.15053,186.976,0.0267399
416,704.894,912.944,47.8826,224.963,0.0217176
417,705.341,128.867,2.56329,207.484,0.0149984
418,706.317,159.454,10.8556,148.261,0.0305865
419,706.317,159.454,10.8556,283.447,0.0305865
420,706.634,39.9541,10.1316,287.919,0.0166572
421,706.905,1029.75,3.91781,237.961,0.0194757
422,707.117,1366.76,8.34329,159.02,0.0492352
423,707.124,144.528,2.6918,159.115,0.0160715
424,707.319,467.016,4.28127,204.593,0.0134492
425,707.939,578.652,4.89888,122.405,0.0150482
426,708.322,154.858,3.5042,145.844,0.0160952
427,709.432,148.994,3.49112,152.245,0.0164442
428,710.612,1054,30.3187,23.882,0.017548
429,711.251,1118.05,5.00226,20.3001,0.0138734
430,711.356,988.884,3.7219,74.1468,0.0155082
431,711.358,989.159,3.47841,73.9444,0.0155643
432,712.898,102.416,2.45511,110.462,0.0193674
433,713.708,1375.43,2.74154,173.592,0.0160049
434,714.094,151.296,7.85824,142.417,0.0175011
435,714.858,1111.97,3.99508,21.5879,0.0139145
436,715.489,122.611,1.88261,246.826,0.0186423
437,715.826,137.377,15.9885,236.354,0.0227284
438,716.567,950.967,6.51123,234.005,0.0178919
439,716.793,1101.46,6.27596,17.4359,0.0164693
440,717.106,100.609,3.21661,112.322,0.0142193
441,717.509,79.9321,2.19293,309.27,0.0159773
442,719.204,826.149,4.35165,220.09,0.0140696
443,719.94,1024.47,3.83898,220.286,0.0144079
444,720.505,82.3139,2.40046,310.493,0.01406
445,721.376,1015.62,3.51983,220.114,0.0205061
446,721.736,1020.53,2.3314,219.847,0.0135988
447,722.627,106.979,2.49802,121.979,0.0145922
448,722.751,806.648,5.51765,191.483,0.0168906
449,724.453,942.558,3.09999,229.777,0.0161987
450,724.465,1379.92,13.7951,8.74275,0.0675896
451,724.542,86.6166,3.39,320.169,0.0139033
452,724.626,937.504,3.42583,223.334,0.0213604
453,725.804,997.811,11.9463,84.6791,0.0320159
454,725.804,997.811,11.9463,207.545,0.0320159
455,726.127,116.514,8.71244,142.979,0.0348348
456,726.127,116.514,8.71244,261.028,0.0348348
457,726.609,35.2823,12.9964,289.225,0.0167365
458,726.695,1081.72,6.10709,32.1058,0.0134981
459,726.801,1306.11,2.65083,263.344,0.0224391
460,727.754,1019.98,8.08912,219.832,0.0146763
461,731.286,110.271,4.03554,140.959,0.0149349
462,732.241,800.978,8.25858,195.481,0.0211914
463,732.241,800.978,8.25858,270.444,0.0211914
464,732.432,459.54,14.8613,10.9688,0.0441498
465,732.432,459.54,14.8613,25.2692,0.0441498
466,732.432,459.54,14.8613,150.729,0.0441498
467,734.394,1341.63,2.54604,19.3586,0.0240006
468,735.717,1298.44,7.57242,202.656,0.0405557
469,735.717,1298.44,7.57242,257.447,0.0405557
470,735.905,106.462,10.9121,285.161,0.0209976
471,736.055,926.996,4.177,214.723,0.014626
472,736.941,1220.03,3.57853,189.422,0.0191139
473,737.237,51.863,5.19182,295.787,0.0223269
474,738.035,883.961,5.08851,147.473,0.0201769
475,742.151,914.453,2.25872,199.214,0.0136054
476,742.591,1235.4,8.38135,44.272,0.0229057
477,742.591,1235.4,8.38135,178.317,0.0229057
478,742.698,900.884,3.95237,184.46,0.0219652
479,743.131,1233.85,9.08244,43.4344,0.0224831
480,743.131,1233.85,9.08244,178.2,0.0224831
481,743.701,910.728,2.85519,202.929,0.0144007
482,744.201,379.086,13.7135,277.046,0.0662492
483,744.3,837.077,51.1207,230.874,0.0221357
484,745.346,95.3107,9.84087,282.452,0.0228204
485,745.637,56.4861,5.34161,300.614,0.0256657
486,747.051,100.476,2.01572,291.406,0.0141089
487,747.732,104.397,3.31771,293.856,0.0147852
488,749.069,1040.99,6.13434,29.1552,0.0133641
489,749.345,1280.25,7.09481,227.285,0.0339869
490,749.372,1279.96,7.2149,227.309,0.0338445
491,749.46,1177.3,4.61545,13.924,0.0136387
492,749.87,1239.84,4.19029,39.8984,0.0175835
493,751.075,455.667,14.0125,34.1438,0.0277292
494,751.583,453.907,14.5918,43.2089,0.0280135
495,751.71,100.928,4.99485,289.166,0.0247483
496,753.201,1235.63,3.31191,36.7081,0.0172272
497,754.666,1314.51,2.1219,28.5755,0.0243353
498,754.756,959.023,55.878,32.8249,0.0206446
499,754.756,959.023,55.878,220.921,0.0206446
500,755.144,1204.23,21.9485,41.7729,0.0260807
501,756.624,82.5332,2.22573,238.352,0.0152275
502,756.651,1024.42,7.61582,29.8641,0.0141448
503,758.994,1311.55,2.48499,69.6049,0.0326636
504,759.351,1175.85,8.17995,223.483,0.027226
505,760.609,90.5213,10.6897,263.406,0.0275281
506,762.514,68.603,5.4806,308.924,0.0207992
507,762.585,474.091,13.6696,211.611,0.0428296
508,762.604,78.4189,6.20477,266.552,0.0214041
509,763.193,1013.74,5.57777,37.656,0.0145515
510,766.158,242.025,2.24626,140.61,0.0327459
511,768.789,355.728,25.3522,201.887,0.0629594
512,768.789,355.728,25.3522,265.269,0.0629594
513,768.876,1310.47,2.36327,89.9076,0.0212993
514,769.354,795.612,2.75873,252.017,0.0138287
515,769.842,1006.72,5.77894,38.4869,0.0148771
516,770.143,1265.84,3.94654,217.106,0.0164307
517,770.631,167.049,94.7491,133.315,0.0581718
518,770.631,167.049,94.7491,279.32,0.0581718
519,773.137,576.405,10.2149,65.5628,0.0143992
520,773.277,1339.41,42.8281,95.2157,0.0527918
521,773.506,92.0099,21.4454,303.211,0.0384843
522,774.06,789.826,4.15157,246.058,0.0190306
523,775.08,998.201,5.24283,36.7599,0.0161989
524,777.318,1258.21,6.02838,220.232,0.0179475
525,777.645,1094.65,79.7467,11.2101,0.0145602
526,780.5,1206.29,3.3125,42.6667,0.0146547
527,780.595,278.576,5.22968,151.451,0.0371202
528,780.713,1242.21,8.71379,218.132,0.0269253
529,781.886,991.344,4.39589,47.6217,0.0143893
530,782.919,1178.28,21.4036,40.3184,0.0239939
531,782.919,1178.28,21.4036,229.775,0.0239939
532,785.563,1239.29,3.41921,213.074,0.0278092
533,787.301,1198.09,4.49258,47.7004,0.0170118
534,787.967,874.395,18.4072,244.788,0.0228566
535,789.339,1311.46,2.5208,101.008,0.0281444
536,790.64,278.117,9.91461,145.235,0.05901
537,790.74,491.498,26.5567,9.38828,0.030671
538,791.14,1186.62,6.96307,49.8705,0.013432
539,792.527,113.072,10.5077,292.876,0.0320027
540,792.997,786.899,4.1922,240.252,0.0133684
541,793.042,465.624,4.09301,15.0584,0.0140562
542,793.351,388.812,63.5186,240.615,0.0474038
543,793.522,780.905,3.85052,235.816,0.0186733
544,794.055,976.069,3.95325,44.2476,0.0163311
545,794.091,81.7843,9.64707,310.42,0.0246549
546,796.945,473.3,6.11502,8.40923,0.0309932
