Keypoint,Variance
1465,0.0102731
2220,0.0104952
1664,0.0105796
1289,0.0107606
1534,0.0109116
1123,0.01096
1124,0.01096
923,0.0109659
922,0.0109659
1596,0.01107
1597,0.01107
1176,0.0110919
750,0.0111029
827,0.0114496
828,0.0114496
1396,0.011605
1311,0.0116116
467,0.0117188
916,0.0117489
2260,0.0119665
1122,0.012003
1219,0.0120781
1321,0.0122357
1304,0.0123114
761,0.0124531
1661,0.0124535
614,0.0125072
1960,0.0125648
1477,0.0126856
250,0.0129603
251,0.0129603
1352,0.0129847
1054,0.0129963
519,0.0131719
2021,0.0133444
516,0.0135257
945,0.0136741
1343,0.0137228
1546,0.0137939
1520,0.0138621
1624,0.0142736
1470,0.0144014
1897,0.0145972
744,0.0147081
2144,0.0147311
2120,0.0148284
1627,0.014899
362,0.0150216
361,0.0150216
1971,0.0150527
2231,0.0150544
2101,0.0153832
73,0.0154333
72,0.0154333
1792,0.0154742
520,0.0155527
2145,0.0157142
715,0.0161824
2193,0.0161912
455,0.0163681
662,0.0163745
438,0.0165387
560,0.016637
559,0.016637
2271,0.0166599
786,0.0167961
1048,0.0168415
977,0.0168981
2061,0.0169041
2179,0.0169769
1216,0.0170239
779,0.0170809
1804,0.0171119
1663,0.017152
1278,0.0175718
2146,0.0177166
2067,0.017736
1572,0.0180534
383,0.0182937
382,0.0182937
2030,0.018318
2137,0.0183723
2054,0.0184984
1655,0.0185441
86,0.0186661
714,0.0186945
1600,0.0192371
2064,0.0193693
2159,0.0194746
599,0.0195123
293,0.0195252
917,0.0197871
1583,0.0198001
1700,0.0200113
488,0.0205954
1109,0.0208618
1995,0.0208786
1994,0.0208786
463,0.021046
1144,0.021051
2194,0.0212243
1628,0.0212851
700,0.0213023
1779,0.0215259
1977,0.0215733
1128,0.0216259
1375,0.0216303
1837,0.0218422
979,0.0219298
1354,0.0220788
2012,0.0221276
2255,0.0221358
2038,0.0222582
603,0.0223798
2003,0.022412
677,0.0226614
849,0.0227231
1364,0.022994
1363,0.022994
1946,0.0230355
1947,0.0230355
1092,0.0233652
1093,0.0233652
1545,0.0234385
1702,0.0237925
2276,0.0238722
351,0.0239466
1697,0.0239978
1968,0.0240044
2186,0.0242131
2185,0.0242131
1179,0.0242898
626,0.0245588
928,0.0245749
2023,0.0249212
1605,0.0251187
468,0.0252091
473,0.0252427
2057,0.0253842
1094,0.0256738
1962,0.025835
543,0.0259667
2249,0.0265494
1539,0.0265649
1076,0.0266829
1075,0.0266829
2035,0.0267579
1215,0.0267646
1504,0.0268523
1503,0.0268523
1633,0.026878
1649,0.0269312
