Number, x, y, size, angle, response
1,1618.62,828.226,6.32353,267.159,0.0161174
2,1349.41,568.99,6.01911,93.4226,0.0273535
3,1315.75,777.505,5.14782,183.074,0.0142555
4,541.048,884.731,4.40001,259.249,0.0202061
5,1354.45,212.291,9.77583,236.878,0.0194702
6,1795.85,849.109,7.92995,212.573,0.0196032
7,1548.06,494.637,6.20468,77.065,0.0302752
8,1351.65,549.639,8.61675,2.67223,0.0461741
9,1113.47,1362.05,3.37885,224.3,0.0204008
10,2071.68,308.696,9.49472,331.614,0.0166066
