KeypointIndex,FrameIndex,X,Y,Variance
205,1,438.226,672.353,457.314
211,0,667.227,807.904,0.00648552
211,1,667.102,808.005,0.00648552
212,0,444.5,370.016,3.22958
212,1,447.612,371.829,3.22958
212,2,447.825,372.217,3.22958
219,0,446.923,391.777,0.882641
219,1,446.873,390.565,0.882641
219,2,446.57,389.719,0.882641
219,3,446.619,389.373,0.882641
225,0,277.153,989.982,2540.12
225,1,359.138,931.341,2540.12
227,0,483.253,810.165,0.863459
227,1,484.711,809.013,0.863459
229,0,400.719,705.86,138333
229,1,1082.04,1004.41,138333
232,0,644.173,631.959,0.164205
232,1,644.653,631.307,0.164205
236,0,451.748,862.039,0.553922
236,1,450.32,861.965,0.553922
236,2,450.329,862.501,0.553922
236,3,449.838,862.232,0.553922
237,0,455.258,391.657,0.0302396
237,1,455.09,391.962,0.0302396
238,0,754.742,871.794,55767.9
238,1,453.774,472.881,55767.9
238,2,454.076,469.566,55767.9
239,0,455.891,368.77,0.0435741
239,1,455.739,369.073,0.0435741
239,2,456.036,369.135,0.0435741
239,3,455.811,369.249,0.0435741
242,0,458.335,1030.78,0.0694724
242,1,457.908,1031.09,0.0694724
248,0,456.075,491.856,0.597638
248,1,455.851,489.995,0.597638
248,2,456.051,490.116,0.597638
248,3,456.08,490.16,0.597638
249,0,467.336,145.817,0.291581
249,1,467.147,145.65,0.291581
249,2,466.591,145.827,0.291581
249,3,465.999,146.043,0.291581
250,0,457.216,910.48,0.0129603
250,1,457.341,910.529,0.0129603
250,2,457.467,910.442,0.0129603
250,3,457.487,910.459,0.0129603
251,0,457.216,910.48,0.0129603
251,1,457.341,910.529,0.0129603
251,2,457.467,910.442,0.0129603
251,3,457.487,910.459,0.0129603
253,0,468.908,231.043,0.400862
253,1,467.785,231.588,0.400862
253,2,467.475,231.413,0.400862
253,3,467.417,231.265,0.400862
256,0,470.12,389.808,0.16488
256,1,469.423,389.42,0.16488
256,2,469.329,389.353,0.16488
266,0,617.084,655.532,0.299477
266,1,616.578,655.868,0.299477
266,2,617.529,654.935,0.299477
273,0,712.162,718.944,10395
273,1,497.937,742.32,10395
273,2,713.76,719.2,10395
277,0,473.49,868.272,0.784496
277,1,472.072,869.352,0.784496
277,2,471.665,869.796,0.784496
277,3,472.204,869.375,0.784496
278,0,479.044,396.856,0.28931
278,1,478.486,396.431,0.28931
278,2,478.06,395.984,0.28931
280,0,478.843,873.609,0.131817
280,1,478.574,873.675,0.131817
280,2,478.307,874.224,0.131817
280,3,478.393,874.254,0.131817
281,0,479.184,901.217,0.0350775
281,1,479.045,901.363,0.0350775
281,2,479.137,901.491,0.0350775
281,3,479.028,901.696,0.0350775
282,0,482.721,423.491,0.107512
282,1,481.882,423.508,0.107512
282,2,482.541,423.324,0.107512
282,3,482.502,423.543,0.107512
285,0,676.885,806.058,0.0363459
285,1,676.796,806.429,0.0363459
290,0,487.991,402.555,0.0959382
290,1,487.858,402.768,0.0959382
290,2,487.614,402.644,0.0959382
290,3,487.203,402.697,0.0959382
292,0,486.904,986.1,0.757388
292,1,486.204,986.71,0.757388
292,2,485.357,987.905,0.757388
292,3,485.929,987.279,0.757388
293,0,486.35,1022.51,0.0195252
293,1,486.61,1022.44,0.0195252
293,2,486.681,1022.35,0.0195252
293,3,486.517,1022.36,0.0195252
296,0,740.819,901.288,0.0392401
296,1,741.036,901.62,0.0392401
302,0,1068.73,960.855,40347.8
302,1,709.738,780.53,40347.8
305,0,496.409,439.317,0.303917
305,1,495.634,440.384,0.303917
305,2,495.702,439.877,0.303917
305,3,495.364,440.118,0.303917
306,0,496.409,439.317,0.303917
306,1,495.634,440.384,0.303917
306,2,495.702,439.877,0.303917
306,3,495.364,440.118,0.303917
308,0,498.18,472.46,0.0731915
308,1,497.675,472.822,0.0731915
308,2,497.834,472.818,0.0731915
313,0,382.141,788.781,0.0671593
313,1,382.624,788.97,0.0671593
314,0,499.961,324.349,0.0293038
314,1,499.792,324.682,0.0293038
314,2,499.736,324.603,0.0293038
318,0,501.064,414.155,0.0978116
318,1,500.816,414.042,0.0978116
318,2,500.828,414.13,0.0978116
318,3,500.275,413.851,0.0978116
323,0,502.205,910.68,0.214818
323,1,501.8,911.187,0.214818
323,2,502.584,911.255,0.214818
323,3,502.284,911.723,0.214818
324,0,501.231,841.863,0.0707903
324,1,501.293,842.29,0.0707903
324,2,500.987,842.434,0.0707903
324,3,501.038,842.431,0.0707903
325,0,509.156,137.121,0.0341757
325,1,509.091,137.177,0.0341757
325,2,508.976,137.102,0.0341757
325,3,508.77,136.881,0.0341757
326,0,503.277,492.451,0.511414
326,1,504.339,493.096,0.511414
326,2,504.594,493.499,0.511414
327,0,572.762,346.447,1246.3
327,1,506.632,321.708,1246.3
330,0,508.004,333.568,0.0420541
330,1,507.829,333.6,0.0420541
330,2,507.763,333.961,0.0420541
331,0,504.709,1016.26,0.00543604
331,1,504.624,1016.13,0.00543604
332,0,511.065,944.001,0.0645139
332,1,510.71,944.365,0.0645139
336,0,516.397,72.3831,68873
336,1,720.371,642.846,68873
336,2,516.38,72.0923,68873
336,3,516.152,72.0078,68873
337,0,516.397,72.3831,0.0316511
337,1,516.41,72.2371,0.0316511
337,2,516.38,72.0923,0.0316511
337,3,516.152,72.0078,0.0316511
338,0,510.634,434.856,0.111297
338,1,510.702,435.639,0.111297
338,2,510.511,435.133,0.111297
342,0,558.876,706.101,0.351616
342,1,558.013,706.997,0.351616
342,2,558.565,705.803,0.351616
342,3,558.694,705.76,0.351616
343,0,549.867,707.673,0.00277244
343,1,549.791,707.745,0.00277244
346,0,514.014,324.918,0.373037
346,1,514.237,325.812,0.373037
346,2,514.333,326.364,0.373037
348,0,513.804,494.48,0.0630819
348,1,513.941,494.401,0.0630819
348,2,513.855,493.95,0.0630819
348,3,513.932,493.959,0.0630819
349,0,589.384,198.301,84921.1
349,1,361.978,831.645,84921.1
349,2,361.519,831.684,84921.1
349,3,362.234,831.711,84921.1
350,0,513.116,762.01,92030.3
350,1,1063.67,1016.98,92030.3
351,0,517.536,338.68,0.0239466
351,1,517.368,338.94,0.0239466
353,0,512.791,951.037,0.0302438
353,1,512.527,951.368,0.0302438
353,2,512.697,951.21,0.0302438
354,0,512.791,951.037,0.0302438
354,1,512.527,951.368,0.0302438
354,2,512.697,951.21,0.0302438
359,0,523.741,87.1517,86933.4
359,1,928.505,515.987,86933.4
361,0,522.131,472.807,0.0150216
361,1,522.179,473.018,0.0150216
361,2,522.123,473.113,0.0150216
361,3,522.166,473.089,0.0150216
362,0,522.131,472.807,0.0150216
362,1,522.179,473.018,0.0150216
362,2,522.123,473.113,0.0150216
362,3,522.166,473.089,0.0150216
365,0,434.947,453.211,36101.5
365,1,346.576,822.801,36101.5
368,0,568.335,598.465,0.389591
368,1,567.092,598.586,0.389591
370,0,520.894,940.105,0.0896916
370,1,521.396,939.676,0.0896916
370,2,521.176,940.166,0.0896916
373,0,523.979,880.134,0.731301
373,1,522.634,878.298,0.731301
373,2,522.959,879.53,0.731301
373,3,522.922,879.744,0.731301
375,0,529.278,92.1932,13512.6
375,1,429.148,341.381,13512.6
375,2,429.031,341.169,13512.6
375,3,428.872,341.113,13512.6
376,0,522.666,1043.8,0.00473392
376,1,522.766,1043.87,0.00473392
376,2,522.633,1043.9,0.00473392
379,0,526.906,650.993,0.0285921
379,1,526.554,651.155,0.0285921
379,2,526.566,651.169,0.0285921
379,3,526.745,651.23,0.0285921
380,0,526.906,650.993,0.0285921
380,1,526.554,651.155,0.0285921
380,2,526.566,651.169,0.0285921
380,3,526.745,651.23,0.0285921
382,0,531.088,222.924,0.0182937
382,1,531.045,222.911,0.0182937
382,2,530.866,222.819,0.0182937
382,3,530.8,222.775,0.0182937
383,0,531.088,222.924,0.0182937
383,1,531.045,222.911,0.0182937
383,2,530.866,222.819,0.0182937
383,3,530.8,222.775,0.0182937
384,0,526.077,961.559,0.166731
384,1,525.427,961.982,0.166731
384,2,525.227,962.149,0.166731
384,3,525.243,961.96,0.166731
391,0,528.509,901.512,0.459955
391,1,529.147,902.681,0.459955
391,2,528.667,902.995,0.459955
391,3,528.378,903.006,0.459955
395,0,534.393,296.852,0.0808819
395,1,533.834,296.958,0.0808819
401,0,537.454,342.118,0.00158099
401,1,537.375,342.125,0.00158099
